Country,Region,Year,Disaster Type,Population,Impact Score
Anguilla,LATAM,2017,Flood,14108,8.25
Britis Virgin Islands,LATAM,2010,Wind Storms,24004,5.35
Monterrat,LATAM,2018,Flood,9638,6.75
Grenada,LATAM,2000,Wind Storms,90343,5.85
Anguilla,LATAM,2008,Wind Storms,14108,5.25
El Salvador,LATAM,2001,Flood,7066403,6
Monterrat,LATAM,2012,Flood,9638,8.75
Monterrat,LATAM,2017,Earthquake,9638,4.45
Anguilla,LATAM,2017,Flood,14108,9.25
Anguilla,LATAM,2007,Slides,14108,4.27
Grenada,LATAM,2017,Wind Storms,90343,5.85
Trinidad and Tobago,LATAM,2017,Wind Storms,1047366,4.2
Dominica,LATAM,2003,Flood,72514,8.25
Anguilla,LATAM,2012,Other,14108,4.27
St. Lucia,LATAM,2013,Earthquake,172884,4.48
St. Vincent and the Grenadines,LATAM,2008,Slides,118432,4.27
Anguilla,LATAM,2003,Earthquake,14108,4.95
St. Vincent and the Grenadines,LATAM,2015,Wind Storms,118432,5.25
Monterrat,LATAM,2003,Flood,9638,9.25
Anguilla,LATAM,2013,Earthquake,14108,4.42
Grenada,LATAM,2000,Flood,90343,8.75
Anguilla,LATAM,2016,Slides,14108,4.27
Grenada,LATAM,2008,Other,90343,4.27
St. Lucia,LATAM,2011,Flood,172884,7.75
St. Kits and Nevis,LATAM,2017,Wind Storms,39619,5.45
Guadeloupe,LATAM,2017,Wind Storms,399002,5.95
Grenada,LATAM,2006,Flood,90343,6.75
Monterrat,LATAM,2015,Volcanoes,9638,4.27
Virgin Islands,LATAM,2017,Flood,108210,8.25
Antigua and Barbuda,LATAM,2013,Flood,68842,8.75
St. Lucia,LATAM,2006,Wind Storms,172884,5.45
Monterrat,LATAM,2006,Wind Storms,9638,5.75
St. Vincent and the Grenadines,LATAM,2009,Wind Storms,118432,4.85
Britis Virgin Islands,LATAM,2010,Wind Storms,24004,5.35
Anguilla,LATAM,2017,Flood,14108,8.75
St. Vincent and the Grenadines,LATAM,2010,Earthquake,118432,3.92
Monterrat,LATAM,2012,Wind Storms,9638,5.25
Barbados,LATAM,2003,Flood,281968,6.75
El Salvador,LATAM,2008,Slides,7066403,2.52
Barbados,LATAM,2013,Other,281968,4.27
St. Vincent and the Grenadines,LATAM,2010,Wind Storms,118432,5.25
St. Kits and Nevis,LATAM,2008,Earthquake,39619,4.45
Grenada,LATAM,2008,Flood,90343,9.25
Grenada,LATAM,2008,Flood,90343,7.25
Monterrat,LATAM,2003,Wind Storms,9638,4.95
Barbados,LATAM,2012,Wind Storms,281968,5.45
Guadeloupe,LATAM,2006,Flood,399002,7.75
Anguilla,LATAM,2008,Flood,14108,7.75
Anguilla,LATAM,2004,Slides,14108,4.27
Virgin Islands,LATAM,2016,Volcanoes,108210,3.77
Guadeloupe,LATAM,2006,Flood,399002,7.75
St. Vincent and the Grenadines,LATAM,2015,Flood,118432,9.25
St. Vincent and the Grenadines,LATAM,2015,Wind Storms,118432,4.75
Turks and Calcos Islands,LATAM,2001,Slides,22352,4.28
Barbados,LATAM,2007,Wind Storms,281968,4.75
St. Kits and Nevis,LATAM,2017,Earthquake,39619,4.45
St. Lucia,LATAM,2008,Flood,172884,8.75
Monterrat,LATAM,2012,Wind Storms,9638,5.45
St. Kits and Nevis,LATAM,2006,Wind Storms,39619,5.35
Guadeloupe,LATAM,2007,Flood,399002,6.75
Monterrat,LATAM,2003,Slides,9638,4.77
Barbados,LATAM,2010,Flood,281968,8.25
Anguilla,LATAM,2009,Slides,14108,4.27
Barbados,LATAM,2017,Slides,281968,4.27
St. Lucia,LATAM,2002,Flood,172884,8.75
Anguilla,LATAM,2007,Slides,14108,4.27
Antigua and Barbuda,LATAM,2004,Other,68842,4.27
Anguilla,LATAM,2007,Flood,14108,8.75
Barbados,LATAM,2006,Flood,281968,7.75
Trinidad and Tobago,LATAM,2017,Flood,1047366,9
Britis Virgin Islands,LATAM,2009,Other,24004,4.27
Haiti,LATAM,2009,Volcanoes,8924553,3.02
Anguilla,LATAM,2009,Earthquake,14108,4.48
Anguilla,LATAM,2014,Flood,14108,8.75
Cayman Islands,LATAM,2006,Other,47862,4.27
St. Kits and Nevis,LATAM,2013,Wind Storms,39619,5.35
Anguilla,LATAM,2008,Wind Storms,14108,4.85
Britis Virgin Islands,LATAM,2014,Flood,24004,8.75
Turks and Calcos Islands,LATAM,2017,Slides,22352,4.27
Guadeloupe,LATAM,2011,Slides,399002,4.27
