Country,Year,Disaster Type,Service Needed,Percent Needing Service,Percent Serviced
Monterrat,2008,Wind Storms,Abrasions,0.4,0.7
Cayman Islands,2006,Flood,Relocation,0.3,0.6
Cayman Islands,2017,Flood,Relocation,0.3,0.4
Anguilla,2012,Flood,Malnourishment,0.35,0.9
Dominica,2003,Wind Storms,Broken Bone,0.2,0.45
Monterrat,2018,Slides,Relocation,0.1,0.35
Monterrat,2015,Earthquake,Relocation,0.15,0.45
St. Kits and Nevis,2009,Wind Storms,Abrasions,0.4,0.65
Monterrat,2011,Earthquake,Broken Bone,0.25,0.45
Ecuador,2016,Wind Storms,Broken Bone,0.2,0.45
St. Kits and Nevis,2011,Flood,Abrasions,0.125,0.75
Cayman Islands,2017,Earthquake,Relocation,0.15,0.65
Antigua and Barbuda,2015,Volcanoes,Malnourishment,0.15,0.65
Antigua and Barbuda,2012,Wind Storms,Limb Amputation,0.025,0.3
St. Vincent and the Grenadines,2017,Flood,Relocation,0.3,0.6
St. Vincent and the Grenadines,2009,Flood,Limb Amputation,0.025,0.4
Anguilla,2014,Wind Storms,Malnourishment,0.2,0.7
Cayman Islands,2009,Flood,Broken Bone,0.125,0.35
Guadeloupe,2015,Flood,Limb Amputation,0.025,0.05
St. Kits and Nevis,2001,Wind Storms,Malnourishment,0.2,0.7
Anguilla,2017,Earthquake,Malnourishment,0.25,0.9
Cayman Islands,2008,Wind Storms,Abrasions,0.4,0.4
Monterrat,2007,Wind Storms,Abrasions,0.4,0.55
St. Vincent and the Grenadines,2003,Flood,Abrasions,0.125,1
St. Lucia,2001,Earthquake,Broken Bone,0.25,0.05
Monterrat,2011,Flood,Relocation,0.3,0.25
Domincian Rep,2007,Earthquake,Abrasions,0.16,0.6
Grenada,2004,Flood,Malnourishment,0.35,0.65
Monterrat,2001,Wind Storms,Relocation,0.1,0.35
Anguilla,2010,Other,Relocation,0.1,0.6
St. Vincent and the Grenadines,2009,Flood,Abrasions,0.125,0.2
Anguilla,2006,Flood,Relocation,0.3,0.75
Martinique,2004,Flood,Malnourishment,0.35,0.45
Anguilla,2016,Flood,Malnourishment,0.35,0.7
Anguilla,2008,Wind Storms,Broken Bone,0.2,0.3
Barbados,2015,Slides,Relocation,0.1,0.75
Dominica,2009,Slides,Relocation,0.1,0.45
Puerto Rico,2015,Slides,Relocation,0.1,0.45
St. Vincent and the Grenadines,2009,Earthquake,Burns,0.14,0.55
Monterrat,2013,Slides,Relocation,0.1,0.25
Monterrat,2016,Flood,Limb Amputation,0.025,0.1
Anguilla,2014,Wind Storms,Abrasions,0.4,0.75
Anguilla,2003,Earthquake,Malnourishment,0.25,0.6
St. Lucia,2018,Wind Storms,Malnourishment,0.2,0.65
St. Kits and Nevis,2015,Slides,Relocation,0.1,0.65
St. Vincent and the Grenadines,2004,Wind Storms,Malnourishment,0.2,0.65
Guadeloupe,2008,Other,Relocation,0.1,0.3
Barbados,2007,Wind Storms,Abrasions,0.4,0.8
Britis Virgin Islands,2003,Flood,Relocation,0.3,0.55
Anguilla,2007,Wind Storms,Abrasions,0.4,0.9
Guadeloupe,2010,Other,Broken Bone,0.3,0.35
Grenada,2017,Flood,Broken Bone,0.125,0.45
Monterrat,2013,Wind Storms,Broken Bone,0.2,0.3
Antigua and Barbuda,2013,Earthquake,Relocation,0.15,0.6
Anguilla,2014,Wind Storms,Broken Bone,0.2,0.4
Grenada,2018,Wind Storms,Burns,0.075,0.4
Anguilla,2015,Flood,Malnourishment,0.35,0.9
Antigua and Barbuda,2012,Wind Storms,Burns,0.075,0.2
St. Kits and Nevis,2003,Wind Storms,Abrasions,0.4,0.7
Anguilla,2009,Flood,Broken Bone,0.125,0.6
Cuba,2012,Wind Storms,Abrasions,0.4,0.5
Barbados,2017,Wind Storms,Broken Bone,0.2,0.4
St. Kits and Nevis,2001,Wind Storms,Abrasions,0.4,0.55
Monterrat,2008,Flood,Relocation,0.3,0.5
St. Vincent and the Grenadines,2007,Wind Storms,Burns,0.075,0.05
Anguilla,2013,Slides,Relocation,0.1,0.25
Martinique,2014,Wind Storms,Broken Bone,0.2,0.25
Virgin Islands,2006,Volcanoes,Relocation,0.05,0.3
Martinique,2003,Flood,Abrasions,0.125,0.8
Monterrat,2007,Flood,Broken Bone,0.125,0.45
Dominica,2013,Flood,Malnourishment,0.35,0.95
Monterrat,2018,Slides,Relocation,0.1,0.35
St. Lucia,2003,Volcanoes,Abrasions,0.325,0.85
Anguilla,2012,Other,Abrasions,0.2,0.55
Bahamas,2008,Other,Abrasions,0.2,0.65
St. Kits and Nevis,2008,Wind Storms,Relocation,0.1,0.25
Barbados,2009,Wind Storms,Broken Bone,0.2,0.4
Monterrat,2001,Earthquake,Broken Bone,0.25,0.45
Jamaica,2005,Flood,Relocation,0.3,0.45
St. Kits and Nevis,2008,Wind Storms,Malnourishment,0.2,0.65
Martinique,2006,Flood,Abrasions,0.125,0.7
Grenada,2010,Wind Storms,Relocation,0.1,0.5
Anguilla,2016,Wind Storms,Broken Bone,0.2,0.4
St. Vincent and the Grenadines,2015,Flood,Malnourishment,0.35,0.7
St. Kits and Nevis,2017,Wind Storms,Abrasions,0.4,0.75
Cayman Islands,2009,Slides,Relocation,0.1,0.5
Britis Virgin Islands,2007,Flood,Malnourishment,0.35,0.65
Antigua and Barbuda,2006,Flood,Relocation,0.3,0.55
St. Vincent and the Grenadines,2008,Earthquake,Broken Bone,0.25,0.65
Monterrat,2015,Wind Storms,Relocation,0.1,0.3
Barbados,2006,Flood,Burns,0.075,0.45
St. Lucia,2014,Flood,Malnourishment,0.35,1
Anguilla,2009,Flood,Relocation,0.3,0.6
Antigua and Barbuda,2010,Wind Storms,Malnourishment,0.2,0.9
Cayman Islands,2013,Wind Storms,Abrasions,0.4,0.65
Grenada,2007,Slides,Relocation,0.1,0.5
Belize,2017,Earthquake,Malnourishment,0.25,0.7
Grenada,2016,Other,Relocation,0.1,0.7
Martinique,2008,Flood,Relocation,0.3,0.45
St. Lucia,2018,Wind Storms,Abrasions,0.4,0.6
Barbados,2017,Earthquake,Malnourishment,0.25,0.65
St. Kits and Nevis,2016,Other,Broken Bone,0.3,0.4
Monterrat,2007,Earthquake,Burns,0.14,0.4
Costa Rica,2008,Volcanoes,Burns,0.325,0.05
Monterrat,2017,Wind Storms,Abrasions,0.4,0.55
St. Kits and Nevis,2001,Volcanoes,Burns,0.325,0.1
Anguilla,2017,Earthquake,Relocation,0.15,1
Monterrat,2010,Flood,Broken Bone,0.125,0.25
Monterrat,2000,Wind Storms,Malnourishment,0.2,0.75
Grenada,2016,Slides,Relocation,0.1,0.35
Monterrat,2007,Flood,Relocation,0.3,0.25
Anguilla,2016,Earthquake,Abrasions,0.16,0.65
St. Lucia,2008,Flood,Abrasions,0.125,0.55
Anguilla,2008,Flood,Broken Bone,0.125,0.1
St. Lucia,2010,Flood,Malnourishment,0.35,0.35
Monterrat,2013,Earthquake,Relocation,0.15,0.5
Anguilla,2013,Earthquake,Malnourishment,0.25,0.95
Antigua and Barbuda,2013,Wind Storms,Burns,0.075,0.2
Anguilla,2013,Earthquake,Malnourishment,0.25,0.7
St. Kits and Nevis,2012,Slides,Relocation,0.1,0.4
Grenada,2001,Slides,Relocation,0.1,0.45
Guadeloupe,2016,Other,Broken Bone,0.3,0.2
Britis Virgin Islands,2018,Other,Broken Bone,0.3,0.7
Dominica,2006,Slides,Relocation,0.1,0.75
Dominica,2000,Earthquake,Malnourishment,0.25,0.8
Anguilla,2007,Wind Storms,Abrasions,0.4,0.8
Monterrat,2008,Other,Malnourishment,0.3,0.7
El Salvador,2006,Wind Storms,Malnourishment,0.2,0.85
Barbados,2007,Flood,Abrasions,0.125,0.55
Monterrat,2000,Other,Broken Bone,0.3,0.4
Monterrat,2013,Flood,Malnourishment,0.35,0.85
Monterrat,2003,Wind Storms,Malnourishment,0.2,0.5
Anguilla,2006,Earthquake,Relocation,0.15,0.5
Britis Virgin Islands,2014,Wind Storms,Abrasions,0.4,0.5
Guadeloupe,2003,Flood,Malnourishment,0.35,0.35
Cuba,2000,Wind Storms,Abrasions,0.4,0.55
Monterrat,2017,Flood,Abrasions,0.125,0.6
Anguilla,2012,Flood,Malnourishment,0.35,0.75
Cayman Islands,2009,Flood,Burns,0.075,0.4
Monterrat,2003,Volcanoes,Burns,0.325,0.4
St. Vincent and the Grenadines,2009,Other,Malnourishment,0.3,0.6
Monterrat,2012,Volcanoes,Burns,0.325,0.25
St. Vincent and the Grenadines,2012,Earthquake,Abrasions,0.16,0.65
Anguilla,2001,Other,Relocation,0.1,0.65
Barbados,2003,Flood,Broken Bone,0.125,1
Anguilla,2006,Wind Storms,Broken Bone,0.2,0.55
Anguilla,2009,Flood,Relocation,0.3,0.15
Grenada,2018,Wind Storms,Broken Bone,0.2,0.25
Britis Virgin Islands,2001,Slides,Relocation,0.1,0.4
St. Lucia,2007,Wind Storms,Abrasions,0.4,0.5
Anguilla,2006,Volcanoes,Burns,0.325,0.4
Grenada,2018,Flood,Malnourishment,0.35,0.6
Monterrat,2007,Slides,Relocation,0.1,0.55
Virgin Islands,2013,Wind Storms,Abrasions,0.4,0.65
Anguilla,2008,Wind Storms,Burns,0.075,0.3
Monterrat,2006,Wind Storms,Broken Bone,0.2,0.55
Virgin Islands,2018,Earthquake,Broken Bone,0.25,0.55
St. Lucia,2001,Slides,Relocation,0.1,0.25
Cayman Islands,2016,Wind Storms,Abrasions,0.4,0.75
St. Kits and Nevis,2000,Wind Storms,Broken Bone,0.2,0.3
St. Lucia,2009,Volcanoes,Relocation,0.05,0.65
Monterrat,2010,Flood,Malnourishment,0.35,1
Monterrat,2002,Other,Malnourishment,0.3,0.7
St. Lucia,2007,Slides,Relocation,0.1,0.55
Guadeloupe,2018,Wind Storms,Broken Bone,0.2,0.65
Monterrat,2014,Flood,Broken Bone,0.125,0.25
Guadeloupe,2000,Wind Storms,Abrasions,0.4,0.65
St. Vincent and the Grenadines,2018,Slides,Relocation,0.1,0.65
Jamaica,2004,Wind Storms,Limb Amputation,0.025,0.25
Virgin Islands,2006,Wind Storms,Abrasions,0.4,0.7
Guadeloupe,2006,Flood,Relocation,0.3,0.35
Monterrat,2008,Wind Storms,Relocation,0.1,0.45
Grenada,2018,Flood,Malnourishment,0.35,0.85
Anguilla,2017,Earthquake,Burns,0.14,0.1
Anguilla,2003,Earthquake,Broken Bone,0.25,0.15
Monterrat,2006,Volcanoes,Broken Bone,0.05,0.4
Guadeloupe,2009,Other,Broken Bone,0.3,0.15
St. Kits and Nevis,2006,Wind Storms,Abrasions,0.4,0.65
Anguilla,2010,Flood,Relocation,0.3,0.25
Guadeloupe,2012,Flood,Relocation,0.3,0.5
St. Vincent and the Grenadines,2015,Flood,Relocation,0.3,0.7
St. Vincent and the Grenadines,2009,Wind Storms,Malnourishment,0.2,0.85
St. Vincent and the Grenadines,2010,Volcanoes,Malnourishment,0.15,0.7
St. Kits and Nevis,2009,Wind Storms,Malnourishment,0.2,0.65
Britis Virgin Islands,2017,Earthquake,Malnourishment,0.25,0.6
Dominica,2008,Flood,Malnourishment,0.35,0.8
St. Kits and Nevis,2006,Slides,Relocation,0.1,0.55
Barbados,2013,Wind Storms,Abrasions,0.4,0.65
St. Kits and Nevis,2008,Slides,Relocation,0.1,0.55
Monterrat,2003,Volcanoes,Burns,0.325,0.2
Anguilla,2017,Wind Storms,Abrasions,0.4,0.6
St. Vincent and the Grenadines,2002,Earthquake,Malnourishment,0.25,0.65
Anguilla,2017,Wind Storms,Relocation,0.1,0.45
Anguilla,2015,Flood,Burns,0.075,0.2
St. Lucia,2006,Wind Storms,Abrasions,0.4,0.75
St. Kits and Nevis,2014,Wind Storms,Abrasions,0.4,0.65
Anguilla,2007,Wind Storms,Malnourishment,0.2,0.85
Turks and Calcos Islands,2017,Wind Storms,Malnourishment,0.2,0.55
Anguilla,2006,Wind Storms,Abrasions,0.4,0.75
Guadeloupe,2007,Earthquake,Abrasions,0.16,0.45
St. Kits and Nevis,2004,Flood,Burns,0.075,0.6
Barbados,2003,Earthquake,Burns,0.14,0.15
